[2026-02-19 19:56:28] SERVER: avvio in corso
[2026-02-19 19:56:28] SERVER: in ascolto sulla porta 8080
[2026-02-19 19:56:28] SERVER: nuova partita pronta, in attesa di giocatori
[2026-02-19 19:57:08] [ent@127.0.0.1] MOVE: 'D' (pos: 3,46)
[2026-02-19 19:57:08] [ent@127.0.0.1] MOVE: nuova pos (3,47)
[2026-02-19 19:57:09] [ent@127.0.0.1] MOVE: 'W' (pos: 3,47)
[2026-02-19 19:57:09] [ent@127.0.0.1] MOVE: nuova pos (2,47)
[2026-02-19 19:57:09] [ent@127.0.0.1] MOVE: 'W' (pos: 2,47)
[2026-02-19 19:57:09] [ent@127.0.0.1] MOVE: nuova pos (1,47)
[2026-02-19 19:57:10] [ent@127.0.0.1] MOVE: 'D' (pos: 1,47)
[2026-02-19 19:57:10] [ent@127.0.0.1] MOVE: nuova pos (1,48)
[2026-02-19 19:57:10] [ent@127.0.0.1] MOVE: 'D' (pos: 1,48)
[2026-02-19 19:57:10] [ent@127.0.0.1] ITEM: raccolto in (1,49), totale=2
[2026-02-19 19:57:10] [ent@127.0.0.1] MOVE: nuova pos (1,49)
[2026-02-19 19:57:10] [ent@127.0.0.1] MOVE: 'S' (pos: 1,49)
[2026-02-19 19:57:10] [ent@127.0.0.1] MOVE: nuova pos (2,49)
[2026-02-19 19:57:11] [ent@127.0.0.1] MOVE: 'S' (pos: 2,49)
[2026-02-19 19:57:11] [ent@127.0.0.1] MOVE: nuova pos (3,49)
[2026-02-19 19:57:11] [ent@127.0.0.1] MOVE: 'S' (pos: 3,49)
[2026-02-19 19:57:11] [ent@127.0.0.1] MOVE: nuova pos (4,49)
[2026-02-19 19:57:11] [ent@127.0.0.1] MOVE: 'S' (pos: 4,49)
[2026-02-19 19:57:11] [ent@127.0.0.1] MOVE: nuova pos (5,49)
[2026-02-19 19:57:12] [ent@127.0.0.1] MOVE: 'D' (pos: 5,49)
[2026-02-19 19:57:12] [ent@127.0.0.1] MOVE: nuova pos (5,50)
[2026-02-19 19:57:12] [ent@127.0.0.1] MOVE: 'D' (pos: 5,50)
[2026-02-19 19:57:12] [ent@127.0.0.1] GAME: uscita trovata
[2026-02-19 19:57:12] [ent@127.0.0.1] GAME: sessione terminata
[2026-02-19 19:57:12] [ent@127.0.0.1] SCORE: oggetti=2 exit=1
[2026-02-19 19:57:12] [ent@127.0.0.1] ENDGAME: terminato (1 ancora in gioco)
[2026-02-19 19:57:16] [fauu@127.0.0.1] MOVE: 'S' (pos: 8,35)
[2026-02-19 19:57:16] [fauu@127.0.0.1] MOVE: nuova pos (9,35)
[2026-02-19 19:57:17] [fauu@127.0.0.1] MOVE: 'A' (pos: 9,35)
[2026-02-19 19:57:17] [fauu@127.0.0.1] MOVE: nuova pos (9,34)
[2026-02-19 19:57:17] [fauu@127.0.0.1] MOVE: 'D' (pos: 9,34)
[2026-02-19 19:57:17] [fauu@127.0.0.1] MOVE: nuova pos (9,35)
[2026-02-19 19:57:18] [fauu@127.0.0.1] MOVE: 'W' (pos: 9,35)
[2026-02-19 19:57:18] [fauu@127.0.0.1] MOVE: nuova pos (8,35)
[2026-02-19 19:57:18] [fauu@127.0.0.1] MOVE: 'S' (pos: 8,35)
[2026-02-19 19:57:18] [fauu@127.0.0.1] MOVE: nuova pos (9,35)
[2026-02-19 19:57:19] [fauu@127.0.0.1] MOVE: 'A' (pos: 9,35)
[2026-02-19 19:57:19] [fauu@127.0.0.1] MOVE: nuova pos (9,34)
[2026-02-19 19:57:19] [fauu@127.0.0.1] MOVE: 'A' (pos: 9,34)
[2026-02-19 19:57:19] [fauu@127.0.0.1] MOVE: nuova pos (9,33)
[2026-02-19 19:57:20] [fauu@127.0.0.1] MOVE: 'W' (pos: 9,33)
[2026-02-19 19:57:20] [fauu@127.0.0.1] MOVE: nuova pos (8,33)
[2026-02-19 19:57:20] [fauu@127.0.0.1] MOVE: 'W' (pos: 8,33)
[2026-02-19 19:57:20] [fauu@127.0.0.1] MOVE: nuova pos (7,33)
